tf,session,setup,filters,target,trades,win%,PF,net$,/mo@0.5%,folds+,worst_fold$,robust
1h,london,fvg,pd+bias,fix3,31,45.2,1.59,287,12,5/6,-137,False
1h,london,fvg,pd+bias,struct,31,45.2,1.59,287,12,5/6,-137,False
1h,all,ob,pd+sweep,fix2,178,37.6,1.09,278,12,2/6,-195,False
1h,london+ny,fvg,pd+bias+sweep,fix2,30,50.0,1.66,277,12,5/6,-30,False
1h,ny,fvg,pd+bias,fix2,45,46.7,1.4,273,11,4/6,-166,False
1h,ny,fvg,pd+bias+sweep,fix2,22,54.5,1.96,273,11,4/6,-52,False
1h,asian,fvg,pd+bias,fix3,60,41.7,1.26,271,11,4/6,-102,False
1h,asian,fvg,pd+bias,struct,60,41.7,1.26,271,11,4/6,-102,False
15m,ny,fvg,pd+bias+sweep,fix3,82,50.0,1.22,264,11,4/6,-76,False
15m,ny,fvg,pd+bias+sweep,struct,82,50.0,1.22,264,11,4/6,-76,False
1h,asian,ob,pd+sweep,fix3,85,44.7,1.21,262,11,3/6,-115,False
1h,asian,ob,pd+sweep,struct,85,44.7,1.21,262,11,3/6,-115,False
15m,asian,ob,pd+sweep,fix2,388,38.4,1.04,260,11,3/6,-714,False
15m,ny,ob,pd+bias+sweep+mss,fix3,59,49.2,1.32,260,11,3/6,-41,False
15m,ny,ob,pd+bias+sweep+mss,struct,59,49.2,1.32,260,11,3/6,-41,False
5m,asian,ob,pd+bias+mss,fix2,283,41.3,1.05,256,11,3/6,-383,False
15m,london+ny,ob,pd+bias+sweep+mss,fix2,77,41.6,1.2,255,11,4/6,-128,False
5m,asian,ob,pd+bias+sweep+mss,fix2,114,43.0,1.13,246,10,3/6,-357,False
1h,ny,fvg,raw,fix2,194,40.2,1.07,246,10,4/6,-549,False
5m,london,fvg,pd+bias+sweep,fix3,147,50.3,1.11,241,10,4/6,-197,False
5m,london,fvg,pd+bias+sweep,struct,147,50.3,1.11,241,10,4/6,-197,False
15m,ny,fvg,raw,fix3,693,44.6,1.02,238,10,4/6,-355,False
15m,ny,fvg,raw,struct,693,44.6,1.02,238,10,4/6,-355,False
1h,asian,ob,raw,fix2,247,37.2,1.06,235,10,2/6,-236,False
1h,london+ny,ob,pd+sweep,fix2,117,38.5,1.12,235,10,2/6,-133,False
1h,london,sweep,bias,fix3,56,46.4,1.27,223,9,3/6,-71,False
1h,london,sweep,bias,struct,56,46.4,1.27,223,9,3/6,-71,False
1h,asian,sweep,bias,fix3,98,42.9,1.14,218,9,4/6,-81,False
1h,asian,sweep,bias,struct,98,42.9,1.14,218,9,4/6,-81,False
1h,london+ny,ob,pd+bias,fix2,89,39.3,1.15,214,9,3/6,-65,False
1h,asian,ob,pd+sweep,fix2,85,38.8,1.15,212,9,3/6,-168,False
